DATE,INFECTDISEMVTRACKD
2020-02-07,4.37000
2020-02-08,1.68000
2020-02-09,3.98000
2020-02-10,0.90000
2020-02-11,1.34000
2020-02-12,1.06000
2020-02-13,2.30000
2020-02-14,1.23000
2020-02-15,0.00000
2020-02-16,4.67000
2020-02-17,2.93000
2020-02-18,2.10000
2020-02-19,2.72000
2020-02-20,5.70000
2020-02-21,6.68000
2020-02-22,4.13000
2020-02-23,6.13000
2020-02-24,6.37000
2020-02-25,30.78000
2020-02-26,17.15000
2020-02-27,26.01000
2020-02-28,40.41000
2020-02-29,54.49000
2020-03-01,34.35000
2020-03-02,24.53000
