release_date,Average Daily Compound Score,Average Daily Compound Score ex 0s,Sum Composite Score,VIX,VIX x .01,VIX x .001
12/12/2020,0.038,0.08,1.845,23.309999,0.23309999,0.023309999
12/13/2020,0.11,0.261,5.49,23.309999,0.23309999,0.023309999
12/14/2020,0.16,0.339,8.809,24.719999,0.24719999,0.024719999
12/15/2020,0.066,0.143,4.719,22.889999,0.22889999,0.022889999
12/16/2020,0.2,0.4,2.002,22.5,0.225,0.0225
12/17/2020,0.141,0.328,0.984,21.93,0.2193,0.02193
12/18/2020,0.046,0.109,2.406,21.57,0.2157,0.02157
12/19/2020,0.124,0.243,4.853,21.57,0.2157,0.02157
12/20/2020,0.066,0.12,3.117,21.57,0.2157,0.02157
12/21/2020,0.035,0.074,1.784,25.16,0.2516,0.02516
12/22/2020,0.088,0.14,0.7,24.23,0.2423,0.02423
12/23/2020,0.089,0.155,0.62,23.309999,0.23309999,0.023309999
12/24/2020,0.051,0.202,0.202,21.530001,0.21530001,0.021530001
12/25/2020,0.107,0.191,4.402,21.530001,0.21530001,0.021530001
12/26/2020,0.097,0.189,4.155,21.530001,0.21530001,0.021530001
12/27/2020,0.18,0.342,6.489,21.530001,0.21530001,0.021530001
12/28/2020,0.168,0.284,7.373,21.700001,0.21700001,0.021700001
1/1/2021,0.08,0.307,2.15,21.700001,0.21700001,0.021700001
1/2/2021,0.112,0.449,2.244,21.700001,0.21700001,0.021700001
1/3/2021,0.065,0.586,0.586,21.700001,0.21700001,0.021700001
1/4/2021,0.064,0.247,8.408,26.969999,0.26969999,0.026969999
1/5/2021,0.06,0.185,5.906,25.34,0.2534,0.02534
1/6/2021,0.052,0.199,5.165,25.07,0.2507,0.02507
1/7/2021,0.028,0.104,3.332,22.370001,0.22370001,0.022370001
1/8/2021,0.008,0.025,0.931,21.559999,0.21559999,0.021559999
1/9/2021,-0.015,-0.049,-0.146,21.559999,0.21559999,0.021559999
1/10/2021,0.05,0.149,1.492,21.559999,0.21559999,0.021559999
1/11/2021,0.045,0.172,4.288,24.08,0.2408,0.02408
1/12/2021,0.099,0.252,9.085,23.33,0.2333,0.02333
1/13/2021,0.046,0.142,4.694,22.209999,0.22209999,0.022209999
1/14/2021,0.073,0.189,6.613,23.25,0.2325,0.02325
1/15/2021,0.051,0.163,4.726,24.34,0.2434,0.02434
1/16/2021,-0.082,-0.192,-0.576,24.34,0.2434,0.02434
1/17/2021,0,0,0,24.34,0.2434,0.02434
1/18/2021,0.038,0.133,1.201,24.34,0.2434,0.02434
1/19/2021,0.082,0.294,7.359,23.24,0.2324,0.02324
1/20/2021,0.09,0.254,7.379,21.58,0.2158,0.02158
1/21/2021,0.069,0.177,5.322,21.32,0.2132,0.02132
1/22/2021,0.044,0.13,3.9,21.91,0.2191,0.02191
1/23/2021,-0.073,-0.586,-0.586,21.91,0.2191,0.02191
1/24/2021,0,0,0,21.91,0.2191,0.02191
1/25/2021,0.064,0.164,4.75,23.190001,0.23190001,0.023190001
1/26/2021,0.113,0.259,9.051,23.02,0.2302,0.02302
1/27/2021,0.016,0.033,1.439,37.209999,0.37209999,0.037209999
1/28/2021,0.031,0.081,2.586,30.209999,0.30209999,0.030209999
1/29/2021,0.064,0.143,5.876,33.09,0.3309,0.03309
1/30/2021,-0.009,-0.032,-0.065,33.09,0.3309,0.03309
1/31/2021,-0.027,-0.073,-0.218,33.09,0.3309,0.03309
2/1/2021,0.014,0.039,0.965,30.24,0.3024,0.03024
2/2/2021,0.087,0.17,6.79,25.559999,0.25559999,0.025559999
2/3/2021,0.065,0.166,5.16,22.91,0.2291,0.02291
2/4/2021,0.086,0.18,6.855,21.77,0.2177,0.02177
2/5/2021,0.068,0.175,5.085,20.870001,0.20870001,0.020870001
2/6/2021,-0.039,-0.273,-0.273,20.870001,0.20870001,0.020870001
2/7/2021,0.117,0.272,4.083,20.870001,0.20870001,0.020870001
2/8/2021,0.109,0.215,6.653,21.24,0.2124,0.02124
2/9/2021,0.109,0.205,6.347,21.629999,0.21629999,0.021629999
2/10/2021,0.043,0.124,2.723,21.99,0.2199,0.02199
2/11/2021,0.072,0.162,4.691,21.25,0.2125,0.02125
2/12/2021,0.11,0.238,7.388,19.969999,0.19969999,0.019969999
2/13/2021,0.089,0.199,1.79,19.969999,0.19969999,0.019969999
2/14/2021,0.01,0.023,0.092,19.969999,0.19969999,0.019969999
2/15/2021,0.016,0.062,0.187,19.969999,0.19969999,0.019969999
2/16/2021,0.034,0.087,1.819,21.459999,0.21459999,0.021459999
2/17/2021,0.073,0.159,4.142,21.5,0.215,0.0215
2/18/2021,0.044,0.08,2.705,22.49,0.2249,0.02249
2/19/2021,0.097,0.199,7.572,22.049999,0.22049999,0.022049999
2/20/2021,0.079,0.158,0.474,22.049999,0.22049999,0.022049999
2/21/2021,0.022,0.224,0.224,22.049999,0.22049999,0.022049999
2/22/2021,0.044,0.101,2.631,23.450001,0.23450001,0.023450001
2/23/2021,0.122,0.228,8.904,23.110001,0.23110001,0.023110001
2/24/2021,0.089,0.19,5.517,21.34,0.2134,0.02134
2/25/2021,0.085,0.144,6.339,28.889999,0.28889999,0.028889999
2/26/2021,0.054,0.112,4.041,27.950001,0.27950001,0.027950001
2/27/2021,0.062,0.103,0.617,27.950001,0.27950001,0.027950001
2/28/2021,0.105,0.192,1.152,27.950001,0.27950001,0.027950001
3/1/2021,0.129,0.258,8.008,23.35,0.2335,0.02335
3/2/2021,0.13,0.242,7.028,24.1,0.241,0.0241
3/3/2021,0.077,0.163,4.394,26.67,0.2667,0.02667
3/4/2021,0.112,0.198,7.506,28.57,0.2857,0.02857
3/5/2021,0.092,0.168,5.545,24.66,0.2466,0.02466
3/6/2021,0.189,0.269,1.886,24.66,0.2466,0.02466
3/7/2021,0.078,0.247,1.482,24.66,0.2466,0.02466
3/8/2021,0.118,0.277,6.375,25.469999,0.25469999,0.025469999
3/9/2021,0.059,0.132,3.438,24.030001,0.24030001,0.024030001
3/10/2021,0.059,0.112,4.029,22.559999,0.22559999,0.022559999
3/12/2021,0.15,0.31,9.617,20.690001,0.20690001,0.020690001
3/13/2021,0.128,0.22,7.936,20.690001,0.20690001,0.020690001
3/14/2021,0.054,0.097,0.487,20.690001,0.20690001,0.020690001
3/15/2021,0,0,0,20.030001,0.20030001,0.020030001
3/16/2021,0.007,0.016,0.485,19.790001,0.19790001,0.019790001
3/17/2021,0.07,0.141,4.083,19.23,0.1923,0.01923
3/18/2021,0.1,0.189,6.426,21.58,0.2158,0.02158
3/19/2021,0.054,0.099,3.547,20.950001,0.20950001,0.020950001
3/20/2021,0.027,0.057,1.49,20.950001,0.20950001,0.020950001
