DATE,WLEMUINDXD
2019-03-27,32.01000
2019-03-28,109.02000
2019-03-29,52.40000
2019-03-30,60.81000
2019-03-31,33.17000
2019-04-01,88.02000
2019-04-02,203.52000
2019-04-03,43.03000
2019-04-04,50.15000
2019-04-05,47.02000
2019-04-06,27.06000
2019-04-07,71.75000
2019-04-08,13.86000
2019-04-09,10.53000
2019-04-10,25.70000
2019-04-11,8.43000
2019-04-12,9.47000
2019-04-13,53.91000
2019-04-14,62.25000
2019-04-15,71.49000
2019-04-16,10.89000
2019-04-17,8.74000
2019-04-18,33.23000
2019-04-19,39.05000
2019-04-20,13.75000
2019-04-21,38.63000
2019-04-22,44.26000
2019-04-23,21.36000
2019-04-24,63.16000
2019-04-25,40.07000
2019-04-26,18.76000
2019-04-27,67.13000
2019-04-28,36.82000
2019-04-29,28.45000
2019-04-30,31.23000
2019-05-01,82.22000
2019-05-02,17.62000
2019-05-03,47.29000
2019-05-04,80.33000
2019-05-05,49.20000
2019-05-06,173.80000
2019-05-07,135.40000
2019-05-08,155.19000
2019-05-09,79.69000
2019-05-10,75.69000
2019-05-11,13.66000
2019-05-12,12.35000
2019-05-13,146.16000
2019-05-14,171.61000
2019-05-15,164.98000
2019-05-16,72.19000
2019-05-17,77.38000
2019-05-18,83.17000
2019-05-19,50.33000
2019-05-20,73.41000
2019-05-21,32.29000
2019-05-22,34.90000
2019-05-23,8.88000
2019-05-24,59.79000
2019-05-25,14.21000
2019-05-26,25.05000
2019-05-27,22.32000
2019-05-28,12.16000
2019-05-29,18.25000
2019-05-30,17.79000
2019-05-31,39.63000
2019-06-01,71.14000
2019-06-02,52.44000
2019-06-03,13.66000
2019-06-04,45.03000
2019-06-05,55.26000
2019-06-06,83.26000
2019-06-07,62.55000
2019-06-08,102.39000
2019-06-09,175.27000
2019-06-10,47.28000
2019-06-11,23.58000
2019-06-12,323.09000
2019-06-13,59.64000
2019-06-14,108.81000
2019-06-15,118.89000
2019-06-16,173.70000
2019-06-17,30.81000
2019-06-18,113.01000
2019-06-19,9.30000
2019-06-20,18.56000
2019-06-21,74.73000
2019-06-22,130.56000
2019-06-23,141.95000
2019-06-24,60.88000
2019-06-25,34.37000
2019-06-26,118.63000
2019-06-27,102.81000
2019-06-28,72.11000
2019-06-29,29.71000
2019-06-30,12.52000
2019-07-01,73.94000
2019-07-02,34.40000
2019-07-03,39.00000
2019-07-04,14.12000
2019-07-05,35.85000
2019-07-06,15.31000
2019-07-07,189.59000
2019-07-08,31.53000
2019-07-09,23.42000
2019-07-10,17.11000
2019-07-11,136.30000
2019-07-12,10.57000
2019-07-13,15.15000
2019-07-14,27.89000
2019-07-15,63.17000
2019-07-16,70.11000
2019-07-17,9.63000
2019-07-18,50.56000
2019-07-19,43.29000
2019-07-20,15.16000
2019-07-21,28.04000
2019-07-22,32.95000
2019-07-23,35.99000
2019-07-24,18.20000
2019-07-25,48.54000
2019-07-26,31.53000
2019-07-27,122.19000
2019-07-28,13.50000
2019-07-29,32.62000
2019-07-30,158.40000
2019-07-31,55.95000
2019-08-01,59.15000
2019-08-02,132.10000
2019-08-03,104.57000
2019-08-04,174.94000
2019-08-05,108.98000
2019-08-06,150.97000
2019-08-07,154.94000
2019-08-08,98.17000
2019-08-09,99.18000
2019-08-10,60.61000
2019-08-11,122.02000
2019-08-12,166.56000
2019-08-13,115.01000
2019-08-14,195.01000
2019-08-15,330.15000
2019-08-16,359.75000
2019-08-17,208.87000
